SEQN,PAXDAYD,PAXDAYWD,PAXSSNDP,PAXMSTD,PAXTMD,PAXAISMD,PAXVMD,PAXMTSD,PAXWWMD,PAXSWMD,PAXNWMD,PAXUMD,PAXLXSD,PAXQFD
62174.0,b'9',b'7',50256000.0,b' 0:00:00',1059.0,5076645.0,1059.0,0.756,5.397605346934028e-79,5.397605346934028e-79,1059.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
62177.0,b'1',b'7',5.397605346934028e-79,b'12:30:00',690.0,341152.0,690.0,9661.346,648.0,29.0,5.397605346934028e-79,13.0,28327.529999999995,5.397605346934028e-79
62177.0,b'2',b'1',3312000.0,b' 0:00:00',1440.0,3488761.0,1440.0,9873.9,788.0,592.0,5.397605346934028e-79,60.0,45686.22000000001,5.397605346934028e-79
62177.0,b'3',b'2',10224000.0,b' 0:00:00',1440.0,2833283.0,1440.0,12633.997,912.0,495.0,5.397605346934028e-79,33.0,72696.92,5.397605346934028e-79
62177.0,b'4',b'3',17136000.0,b' 0:00:00',1440.0,2415207.0,1440.0,13136.852,1028.0,362.0,5.397605346934028e-79,50.0,108618.71,5.397605346934028e-79
62177.0,b'5',b'4',24048000.0,b' 0:00:00',1440.0,2788974.0,1440.0,12381.141,933.0,462.0,5.397605346934028e-79,45.0,50879.41,5.397605346934028e-79
62177.0,b'6',b'5',30960000.0,b' 0:00:00',1440.0,2573182.0,1440.0,12534.455,984.0,415.0,5.397605346934028e-79,41.0,76263.78,5.397605346934028e-79
62177.0,b'7',b'6',37872000.0,b' 0:00:00',1440.0,2960400.0,1440.0,11998.232999999998,918.0,473.0,5.397605346934028e-79,49.0,88618.04,5.397605346934028e-79
62177.0,b'8',b'7',44784000.0,b' 0:00:00',1440.0,3142424.0,1440.0,10867.211,844.0,551.0,5.397605346934028e-79,45.0,75874.34,5.397605346934028e-79
62177.0,b'9',b'1',51696000.0,b' 0:00:00',760.0,3175897.0,760.0,926.301,61.0,553.0,110.0,36.0,1256.2800000000002,5.397605346934028e-79
62178.0,b'1',b'2',5.397605346934028e-79,b'12:30:00',690.0,1176187.0,690.0,4915.792999999999,474.0,168.0,5.397605346934028e-79,48.0,107040.66999999998,5.397605346934028e-79
62178.0,b'2',b'3',3312000.0,b' 0:00:00',1440.0,2826545.0,1440.0,9127.598000000002,785.0,583.0,5.397605346934028e-79,72.0,202715.08,5.397605346934028e-79
62178.0,b'3',b'4',10224000.0,b' 0:00:00',1440.0,3577786.0,1440.0,7220.712,673.0,686.0,5.397605346934028e-79,81.0,139404.73,5.397605346934028e-79
62178.0,b'4',b'5',17136000.0,b' 0:00:00',1440.0,3560622.0,1440.0,7091.106000000001,740.0,617.0,5.397605346934028e-79,83.0,41505.22,5.397605346934028e-79
62178.0,b'5',b'6',24048000.0,b' 0:00:00',1440.0,3572669.0,1440.0,7067.877000000002,707.0,635.0,5.397605346934028e-79,98.0,17075.059999999998,5.397605346934028e-79
62178.0,b'6',b'7',30960000.0,b' 0:00:00',1440.0,3566509.0,1440.0,7253.341999999999,690.0,669.0,5.397605346934028e-79,81.0,2069.1099999999997,5.397605346934028e-79
